step,action,reward,observation
273,{'prt_ooo_threshold': 19},0.8329899895528438,[0.0]
274,{'prt_ooo_threshold': 2},0.7357152904232915,[0.001]
275,{'prt_ooo_threshold': 51},0.7512463707080955,[0.001]
276,{'prt_ooo_threshold': 32},0.689965941008647,[0.001]
277,{'prt_ooo_threshold': 46},0.7520138376015306,[0.001]
278,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
279,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
280,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
281,{'prt_ooo_threshold': 116},0.7989820880373893,[0.0]
282,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
283,{'prt_ooo_threshold': 28},0.7166398509825885,[0.001]
284,{'prt_ooo_threshold': 77},0.7600938067473432,[0.001]
285,{'prt_ooo_threshold': 11},0.7601569170094469,[0.001]
286,{'prt_ooo_threshold': 116},0.7989820880373893,[0.0]
287,{'prt_ooo_threshold': 95},0.7929668532686631,[0.0]
288,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
289,{'prt_ooo_threshold': 67},0.799045240055236,[0.0]
290,{'prt_ooo_threshold': 113},0.798993016211116,[0.0]
291,{'prt_ooo_threshold': 98},0.7988672518478651,[0.0]
292,{'prt_ooo_threshold': 40},0.7162110775493223,[0.001]
293,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
294,{'prt_ooo_threshold': 57},0.7409757827922152,[0.001]
295,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
296,{'prt_ooo_threshold': 38},0.7639889428617624,[0.001]
297,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
298,{'prt_ooo_threshold': 99},0.7994283254862,[0.0]
299,{'prt_ooo_threshold': 94},0.7929823717551353,[0.0]
300,{'prt_ooo_threshold': 83},0.7989112463993373,[0.0]
301,{'prt_ooo_threshold': 78},0.7987440932195199,[0.0]
302,{'prt_ooo_threshold': 48},0.7153392417328219,[0.001]
303,{'prt_ooo_threshold': 18},0.7478508283329082,[0.001]
304,{'prt_ooo_threshold': 89},0.7992098784266561,[0.0]
305,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
306,{'prt_ooo_threshold': 57},0.7409757827922152,[0.001]
307,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
308,{'prt_ooo_threshold': 79},0.799292662589945,[0.0]
309,{'prt_ooo_threshold': 40},0.7966871485419463,[0.0]
310,{'prt_ooo_threshold': 12},0.8024211749000285,[0.0]
311,{'prt_ooo_threshold': 118},0.7992384988686551,[0.0]
312,{'prt_ooo_threshold': 85},0.7988787640292174,[0.0]
313,{'prt_ooo_threshold': 102},0.7991309986153886,[0.0]
314,{'prt_ooo_threshold': 95},0.7929668532686631,[0.0]
315,{'prt_ooo_threshold': 44},0.7140655638281173,[0.001]
316,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
317,{'prt_ooo_threshold': 75},0.7993168110825049,[0.0]
318,{'prt_ooo_threshold': 43},0.7595302109463845,[0.001]
319,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
320,{'prt_ooo_threshold': 41},0.7391367247049493,[0.0]
